Ingredient,DF,Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Key,Patent_No,Patent_Expire_Date_Text,Patent_Drug_Substance_Flag,Patent_Drug_Product_Flag,Patent_Use_Code,Patent_Delist_Flag,Patent_Submission_Date,Exclusivity_Code,Exclusivity_Date
METFORMIN HYDROCHLORIDE,TABLET,ORAL,METFORMIN HYDROCHLORIDE,MYLAN,500MG,A,75976,1,AB,1/24/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,75976-1,,,,,,,,,
METFORMIN HYDROCHLORIDE,TABLET,ORAL,METFORMIN HYDROCHLORIDE,MYLAN,850MG,A,75973,2,AB,1/25/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,75973-2,,,,,,,,,
METFORMIN HYDROCHLORIDE,TABLET,ORAL,METFORMIN HYDROCHLORIDE,MYLAN,850MG,A,75976,2,AB,1/24/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,75976-2,,,,,,,,,
METFORMIN HYDROCHLORIDE,TABLET,ORAL,METFORMIN HYDROCHLORIDE,MYLAN PHARMS INC,1GM,A,75969,3,,1/29/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75969-3,,,,,,,,,
METFORMIN HYDROCHLORIDE,TABLET,ORAL,METFORMIN HYDROCHLORIDE,MYLAN PHARMS INC,500MG,A,75969,1,,1/29/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75969-1,,,,,,,,,
METFORMIN HYDROCHLORIDE,TABLET,ORAL,METFORMIN HYDROCHLORIDE,MYLAN PHARMS INC,850MG,A,75969,2,,1/29/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75969-2,,,,,,,,,
METHIMAZOLE,TABLET,ORAL,METHIMAZOLE,MYLAN,5MG,A,40350,1,AB,3/29/2000,No,No,RX,MYLAN PHARMACEUTICALS INC,40350-1,,,,,,,,,
METHIMAZOLE,TABLET,ORAL,METHIMAZOLE,MYLAN,10MG,A,40350,2,AB,3/29/2000,No,Yes,RX,MYLAN PHARMACEUTICALS INC,40350-2,,,,,,,,,
METHIMAZOLE,TABLET,ORAL,METHIMAZOLE,MYLAN,20MG,A,40350,3,,6/7/2001,No,No,DISCN,MYLAN PHARMACEUTICALS INC,40350-3,,,,,,,,,
METHOCARBAMOL,TABLET,ORAL,METHOCARBAMOL,MYLAN,500MG,A,84259,1,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,84259-1,,,,,,,,,
METHOCARBAMOL,TABLET,ORAL,METHOCARBAMOL,MYLAN,750MG,A,84323,1,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,84323-1,,,,,,,,,
METHOTREXATE SODIUM,TABLET,ORAL,METHOTREXATE SODIUM,MYLAN,EQ 2.5MG BASE,A,81235,1,AB,5/15/1992,No,No,RX,MYLAN PHARMACEUTICALS INC,81235-1,,,,,,,,,
METHYCLOTHIAZIDE,TABLET,ORAL,METHYCLOTHIAZIDE,MYLAN,2.5MG,A,87671,1,,8/17/1982,No,No,DISCN,MYLAN PHARMACEUTICALS INC,87671-1,,,,,,,,,
METHYCLOTHIAZIDE,TABLET,ORAL,METHYCLOTHIAZIDE,MYLAN PHARMS INC,5MG,A,87672,1,,8/17/1982,No,Yes,RX,MYLAN PHARMACEUTICALS INC,87672-1,,,,,,,,,
METHYLDOPA,TABLET,ORAL,METHYLDOPA,MYLAN,250MG,A,70076,2,AB,4/18/1985,No,No,RX,MYLAN PHARMACEUTICALS INC,70076-2,,,,,,,,,
METHYLDOPA,TABLET,ORAL,METHYLDOPA,MYLAN,500MG,A,70076,1,AB,4/18/1985,No,Yes,RX,MYLAN PHARMACEUTICALS INC,70076-1,,,,,,,,,
HYDROCHLOROTHIAZIDE; METHYLDOPA,TABLET,ORAL,METHYLDOPA AND HYDROCHLOROTHIAZIDE,MYLAN,15MG;250MG,A,70265,2,,1/23/1986,No,No,RX,MYLAN PHARMACEUTICALS INC,70265-2,,,,,,,,,
HYDROCHLOROTHIAZIDE; METHYLDOPA,TABLET,ORAL,METHYLDOPA AND HYDROCHLOROTHIAZIDE,MYLAN,25MG;250MG,A,70265,1,,1/23/1986,No,Yes,RX,MYLAN PHARMACEUTICALS INC,70265-1,,,,,,,,,
METOLAZONE,TABLET,ORAL,METOLAZONE,MYLAN,2.5MG,A,76698,1,AB,12/23/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,76698-1,,,,,,,,,
METOLAZONE,TABLET,ORAL,METOLAZONE,MYLAN,5MG,A,76698,2,AB,10/19/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76698-2,,,,,,,,,
METOLAZONE,TABLET,ORAL,METOLAZONE,MYLAN,10MG,A,76698,3,AB,10/19/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76698-3,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,25MG,A,76704,1,AB,1/16/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76704-1,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,37.5MG,A,76704,4,,3/18/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,76704-4,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,50MG,A,73666,1,,12/21/1993,No,No,DISCN,MYLAN PHARMACEUTICALS INC,73666-1,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,50MG,A,76704,2,AB,1/16/2004,No,No,RX,MYLAN PHARMACEUTICALS INC,76704-2,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,75MG,A,76704,5,,3/18/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,76704-5,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,100MG,A,73666,2,,12/21/1993,No,No,DISCN,MYLAN PHARMACEUTICALS INC,73666-2,,,,,,,,,
METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE,MYLAN,100MG,A,76704,3,AB,1/16/2004,No,Yes,RX,MYLAN PHARMACEUTICALS INC,76704-3,,,,,,,,,
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN,25MG;50MG,A,76792,1,AB,8/20/2004,No,No,RX,MYLAN PHARMACEUTICALS,76792-1,,,,,,,,,
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN,25MG;100MG,A,76792,2,AB,8/20/2004,No,No,RX,MYLAN PHARMACEUTICALS,76792-2,,,,,,,,,
HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE,TABLET,ORAL,METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE,MYLAN,50MG;100MG,A,76792,3,AB,8/20/2004,No,No,RX,MYLAN PHARMACEUTICALS,76792-3,,,,,,,,,
MIDODRINE HYDROCHLORIDE,TABLET,ORAL,MIDODRINE HYDROCHLORIDE,MYLAN PHARMS INC,2.5MG,A,76577,1,AB,9/10/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,76577-1,,,,,,,,,
MIDODRINE HYDROCHLORIDE,TABLET,ORAL,MIDODRINE HYDROCHLORIDE,MYLAN PHARMS INC,5MG,A,76577,2,AB,9/10/2003,No,Yes,RX,MYLAN PHARMACEUTICALS INC,76577-2,,,,,,,,,
MIDODRINE HYDROCHLORIDE,TABLET,ORAL,MIDODRINE HYDROCHLORIDE,MYLAN PHARMS INC,10MG,A,76577,3,AB,9/10/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,76577-3,,,,,,,,,
MIRTAZAPINE,TABLET,ORAL,MIRTAZAPINE,MYLAN,15MG,A,76122,1,AB,6/19/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,76122-1,,,,,,,,,
MIRTAZAPINE,TABLET,ORAL,MIRTAZAPINE,MYLAN,30MG,A,76122,2,AB,6/19/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,76122-2,,,,,,,,,
MIRTAZAPINE,TABLET,ORAL,MIRTAZAPINE,MYLAN,45MG,A,76122,3,AB,6/19/2003,No,No,RX,MYLAN PHARMACEUTICALS INC,76122-3,,,,,,,,,
MIRTAZAPINE,TABLET,ORAL,MIRTAZAPINE,MYLAN PHARMS INC,15MG,A,76176,1,,6/19/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76176-1,,,,,,,,,
MIRTAZAPINE,TABLET,ORAL,MIRTAZAPINE,MYLAN PHARMS INC,30MG,A,76176,2,,6/19/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76176-2,,,,,,,,,
MIRTAZAPINE,TABLET,ORAL,MIRTAZAPINE,MYLAN PHARMS INC,45MG,A,76176,3,,6/19/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76176-3,,,,,,,,,
MODAFINIL,TABLET,ORAL,MODAFINIL,MYLAN PHARMS INC,100MG,A,76594,1,AB,7/16/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,76594-1,,,,,,,,,
MODAFINIL,TABLET,ORAL,MODAFINIL,MYLAN PHARMS INC,200MG,A,76594,2,AB,7/16/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,76594-2,,,,,,,,,
MONTELUKAST SODIUM,TABLET,ORAL,MONTELUKAST SODIUM,MYLAN PHARMS INC,EQ 10MG BASE,A,79103,1,AB,8/3/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,79103-1,,,,,,,,,
MOXIFLOXACIN HYDROCHLORIDE,TABLET,ORAL,MOXIFLOXACIN HYDROCHLORIDE,MYLAN PHARMS INC,EQ 400MG BASE,A,204635,1,AB,8/31/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,204635-1,,,,,,,,,
MYCOPHENOLATE MOFETIL,TABLET,ORAL,MYCOPHENOLATE MOFETIL,MYLAN,500MG,A,65521,1,AB,5/4/2009,No,No,RX,MYLAN PHARMACEUTICALS INC,65521-1,,,,,,,,,
NABUMETONE,TABLET,ORAL,NABUMETONE,MYLAN PHARMS INC,500MG,A,90516,1,AB,7/12/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,90516-1,,,,,,,,,
NABUMETONE,TABLET,ORAL,NABUMETONE,MYLAN PHARMS INC,750MG,A,90516,2,AB,7/12/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,90516-2,,,,,,,,,
NADOLOL,TABLET,ORAL,NADOLOL,MYLAN,20MG,A,74172,1,AB,10/31/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74172-1,,,,,,,,,
NADOLOL,TABLET,ORAL,NADOLOL,MYLAN,40MG,A,74172,2,AB,10/31/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74172-2,,,,,,,,,
NADOLOL,TABLET,ORAL,NADOLOL,MYLAN,80MG,A,74172,3,AB,10/31/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74172-3,,,,,,,,,
BENDROFLUMETHIAZIDE; NADOLOL,TABLET,ORAL,NADOLOL AND BENDROFLUMETHIAZIDE,MYLAN,5MG;40MG,A,78688,1,,2/15/2008,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78688-1,,,,,,,,,
BENDROFLUMETHIAZIDE; NADOLOL,TABLET,ORAL,NADOLOL AND BENDROFLUMETHIAZIDE,MYLAN,5MG;80MG,A,78688,2,,2/15/2008,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78688-2,,,,,,,,,
NAPROXEN,TABLET,ORAL,NAPROXEN,MYLAN,250MG,A,74121,1,AB,12/21/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74121-1,,,,,,,,,
NAPROXEN,TABLET,ORAL,NAPROXEN,MYLAN,375MG,A,74121,2,AB,12/21/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74121-2,,,,,,,,,
NAPROXEN,TABLET,ORAL,NAPROXEN,MYLAN,500MG,A,74121,3,AB,12/21/1993,No,No,RX,MYLAN PHARMACEUTICALS INC,74121-3,,,,,,,,,
NAPROXEN SODIUM,TABLET,ORAL,NAPROXEN SODIUM,MYLAN,EQ 250MG BASE,A,74367,1,,8/31/1994,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74367-1,,,,,,,,,
NAPROXEN SODIUM,TABLET,ORAL,NAPROXEN SODIUM,MYLAN,EQ 500MG BASE,A,74367,2,,8/31/1994,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74367-2,,,,,,,,,
NARATRIPTAN HYDROCHLORIDE,TABLET,ORAL,NARATRIPTAN,MYLAN PHARMS INC,EQ 1MG BASE,A,202431,1,AB,5/31/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,202431-1,,,,,,,,,
NARATRIPTAN HYDROCHLORIDE,TABLET,ORAL,NARATRIPTAN,MYLAN PHARMS INC,EQ 2.5MG BASE,A,202431,2,AB,5/31/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,202431-2,,,,,,,,,
NEFAZODONE HYDROCHLORIDE,TABLET,ORAL,NEFAZODONE HYDROCHLORIDE,MYLAN,100MG,A,76129,2,,9/16/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76129-2,,,,,,,,,
NEFAZODONE HYDROCHLORIDE,TABLET,ORAL,NEFAZODONE HYDROCHLORIDE,MYLAN,150MG,A,76129,3,,9/16/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76129-3,,,,,,,,,
NEFAZODONE HYDROCHLORIDE,TABLET,ORAL,NEFAZODONE HYDROCHLORIDE,MYLAN,200MG,A,76129,4,,9/16/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76129-4,,,,,,,,,
NEFAZODONE HYDROCHLORIDE,TABLET,ORAL,NEFAZODONE HYDROCHLORIDE,MYLAN,250MG,A,76129,5,,9/16/2003,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76129-5,,,,,,,,,
NEVIRAPINE,TABLET,ORAL,NEVIRAPINE,MYLAN LABS,200MG,A,78864,1,AB,5/22/2012,No,No,RX,MYLAN LABORATORIES LTD,78864-1,,,,,,,,,
NEVIRAPINE,TABLET,ORAL,NEVIRAPINE,MYLAN PHARMS INC,200MG,A,202523,1,AB,5/22/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,202523-1,,,,,,,,,
NORETHINDRONE ACETATE,TABLET,ORAL,NORETHINDRONE ACETATE,MYLAN LABS LTD,5MG,A,205278,1,AB,11/10/2016,No,No,RX,MYLAN LABORATORIES LTD,205278-1,,,,,,,,,
ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,TABLET,ORAL,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,MYLAN LABS LTD,0.0025MG;0.5MG,A,207260,1,AB,2/2/2017,No,No,RX,MYLAN LABORATORIES LTD,207260-1,,,,,,,,,
ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,TABLET,ORAL,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,MYLAN LABS LTD,0.005MG;1MG,A,207259,1,AB,12/27/2016,No,No,RX,MYLAN LABORATORIES LTD,207259-1,,,,,,,,,
ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,TABLET,ORAL,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,MYLAN LABS LTD,"0.01MG,0.01MG;1MG,N/A",A,205049,1,,5/31/2016,No,No,DISCN,MYLAN LABORATORIES LTD,205049-1,,,,,,,,,
ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,TABLET,ORAL,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,MYLAN LABS LTD,0.02MG;1MG,A,202742,1,AB,10/30/2014,No,No,RX,MYLAN LABORATORIES LTD,202742-1,,,,,,,,,
OLANZAPINE,TABLET,ORAL,OLANZAPINE,MYLAN PHARMS INC,2.5MG,A,76866,1,,4/23/2012,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76866-1,,,,,,,,,
OLANZAPINE,TABLET,ORAL,OLANZAPINE,MYLAN PHARMS INC,5MG,A,76866,2,,4/23/2012,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76866-2,,,,,,,,,
OLANZAPINE,TABLET,ORAL,OLANZAPINE,MYLAN PHARMS INC,7.5MG,A,76866,3,,4/23/2012,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76866-3,,,,,,,,,
OLANZAPINE,TABLET,ORAL,OLANZAPINE,MYLAN PHARMS INC,10MG,A,76866,4,,4/23/2012,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76866-4,,,,,,,,,
OLANZAPINE,TABLET,ORAL,OLANZAPINE,MYLAN PHARMS INC,15MG,A,76866,5,,4/23/2012,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76866-5,,,,,,,,,
OLANZAPINE,TABLET,ORAL,OLANZAPINE,MYLAN PHARMS INC,20MG,A,76866,6,,4/23/2012,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76866-6,,,,,,,,,
OLMESARTAN MEDOXOMIL,TABLET,ORAL,OLMESARTAN MEDOXOMIL,MYLAN PHARMS INC,5MG,A,78276,1,AB,10/26/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,78276-1,,,,,,,,,
OLMESARTAN MEDOXOMIL,TABLET,ORAL,OLMESARTAN MEDOXOMIL,MYLAN PHARMS INC,20MG,A,78276,2,AB,10/26/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,78276-2,,,,,,,,,
OLMESARTAN MEDOXOMIL,TABLET,ORAL,OLMESARTAN MEDOXOMIL,MYLAN PHARMS INC,40MG,A,78276,3,AB,10/26/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,78276-3,,,,,,,,,
HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,TABLET,ORAL,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,12.5MG;20MG,A,78827,1,AB,10/26/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,78827-1,,,,,,,,,
HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,TABLET,ORAL,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,12.5MG;40MG,A,78827,2,AB,10/26/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,78827-2,,,,,,,,,
HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,TABLET,ORAL,OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,MYLAN PHARMS INC,25MG;40MG,A,78827,3,AB,10/26/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,78827-3,,,,,,,,,
ONDANSETRON HYDROCHLORIDE,TABLET,ORAL,ONDANSETRON HYDROCHLORIDE,MYLAN,EQ 4MG BASE,A,76930,1,AB,6/25/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,76930-1,,,,,,,,,
ONDANSETRON HYDROCHLORIDE,TABLET,ORAL,ONDANSETRON HYDROCHLORIDE,MYLAN,EQ 8MG BASE,A,76930,2,AB,6/25/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,76930-2,,,,,,,,,
ONDANSETRON HYDROCHLORIDE,TABLET,ORAL,ONDANSETRON HYDROCHLORIDE,MYLAN,EQ 24MG BASE,A,76930,4,AB,6/25/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,76930-4,,,,,,,,,
OXAPROZIN,TABLET,ORAL,OXAPROZIN,MYLAN,600MG,A,75851,1,,8/17/2001,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75851-1,,,,,,,,,
OXAPROZIN,TABLET,ORAL,OXAPROZIN,MYLAN PHARMS INC,600MG,A,75847,1,,2/28/2001,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75847-1,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN,EQ 10MG BASE,A,78902,1,AB,3/13/2008,No,No,RX,MYLAN PHARMACEUTICALS INC,78902-1,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN,EQ 20MG BASE,A,78902,2,AB,3/13/2008,No,No,RX,MYLAN PHARMACEUTICALS INC,78902-2,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN,EQ 30MG BASE,A,78902,3,AB,3/13/2008,No,No,RX,MYLAN PHARMACEUTICALS INC,78902-3,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN,EQ 40MG BASE,A,78902,4,AB,3/13/2008,No,No,RX,MYLAN PHARMACEUTICALS INC,78902-4,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 10MG BASE,A,75716,1,,3/8/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75716-1,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 20MG BASE,A,75716,2,,3/8/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75716-2,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 30MG BASE,A,75716,3,,3/8/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75716-3,,,,,,,,,
PAROXETINE HYDROCHLORIDE,TABLET,ORAL,PAROXETINE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 40MG BASE,A,75716,4,,3/8/2004,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75716-4,,,,,,,,,
PENICILLIN G POTASSIUM,TABLET,ORAL,PENICILLIN G POTASSIUM,MYLAN,"200,000 UNITS",A,60781,1,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,60781-1,,,,,,,,,
PENICILLIN G POTASSIUM,TABLET,ORAL,PENICILLIN G POTASSIUM,MYLAN,"250,000 UNITS",A,60781,2,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,60781-2,,,,,,,,,
PENICILLIN G POTASSIUM,TABLET,ORAL,PENICILLIN G POTASSIUM,MYLAN,"400,000 UNITS",A,60781,3,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,60781-3,,,,,,,,,
PENICILLIN G POTASSIUM,TABLET,ORAL,PENICILLIN G POTASSIUM,MYLAN,"500,000 UNITS",A,60781,5,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,60781-5,,,,,,,,,
PENICILLIN G POTASSIUM,TABLET,ORAL,PENICILLIN G POTASSIUM,MYLAN,"800,000 UNITS",A,60781,4,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,60781-4,,,,,,,,,
PENICILLIN V POTASSIUM,TABLET,ORAL,PENICILLIN V POTASSIUM,MYLAN,EQ 250MG BASE,A,61530,1,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,61530-1,,,,,,,,,
PENICILLIN V POTASSIUM,TABLET,ORAL,PENICILLIN V POTASSIUM,MYLAN,EQ 500MG BASE,A,61530,2,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,61530-2,,,,,,,,,
PERPHENAZINE,TABLET,ORAL,PERPHENAZINE,MYLAN PHARMS INC,2MG,A,206691,1,AB,4/14/2017,No,No,RX,MYLAN PHARMACEUTICALS INC,206691-1,,,,,,,,,
PERPHENAZINE,TABLET,ORAL,PERPHENAZINE,MYLAN PHARMS INC,4MG,A,206691,2,AB,4/14/2017,No,No,RX,MYLAN PHARMACEUTICALS INC,206691-2,,,,,,,,,
PERPHENAZINE,TABLET,ORAL,PERPHENAZINE,MYLAN PHARMS INC,8MG,A,206691,3,AB,4/14/2017,No,No,RX,MYLAN PHARMACEUTICALS INC,206691-3,,,,,,,,,
PERPHENAZINE,TABLET,ORAL,PERPHENAZINE,MYLAN PHARMS INC,16MG,A,206691,4,AB,4/14/2017,No,No,RX,MYLAN PHARMACEUTICALS INC,206691-4,,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,TABLET,ORAL,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN,10MG;2MG,A,71443,2,,11/10/1988,No,No,RX,MYLAN PHARMACEUTICALS INC,71443-2,,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,TABLET,ORAL,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN,10MG;4MG,A,71443,3,,11/10/1988,No,No,RX,MYLAN PHARMACEUTICALS INC,71443-3,,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,TABLET,ORAL,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN,25MG;2MG,A,71443,4,,11/10/1988,No,Yes,RX,MYLAN PHARMACEUTICALS INC,71443-4,,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,TABLET,ORAL,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN,25MG;4MG,A,71443,5,,11/10/1988,No,Yes,RX,MYLAN PHARMACEUTICALS INC,71443-5,,,,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,TABLET,ORAL,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,MYLAN,50MG;4MG,A,71443,1,,11/10/1988,No,Yes,RX,MYLAN PHARMACEUTICALS INC,71443-1,,,,,,,,,
PINDOLOL,TABLET,ORAL,PINDOLOL,MYLAN PHARMS INC,5MG,A,74013,1,,9/24/1992,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74013-1,,,,,,,,,
PINDOLOL,TABLET,ORAL,PINDOLOL,MYLAN PHARMS INC,5MG,A,74019,1,AB,9/3/1992,No,No,RX,MYLAN PHARMACEUTICALS INC,74019-1,,,,,,,,,
PINDOLOL,TABLET,ORAL,PINDOLOL,MYLAN PHARMS INC,10MG,A,74018,1,,9/24/1992,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74018-1,,,,,,,,,
PINDOLOL,TABLET,ORAL,PINDOLOL,MYLAN PHARMS INC,10MG,A,74019,2,AB,9/3/1992,No,Yes,RX,MYLAN PHARMACEUTICALS INC,74019-2,,,,,,,,,
PIOGLITAZONE HYDROCHLORIDE,TABLET,ORAL,PIOGLITAZONE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 15MG BASE,A,76801,1,AB,8/17/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,76801-1,,,,,,,,,
PIOGLITAZONE HYDROCHLORIDE,TABLET,ORAL,PIOGLITAZONE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 30MG BASE,A,76801,2,AB,8/17/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,76801-2,,,,,,,,,
PIOGLITAZONE HYDROCHLORIDE,TABLET,ORAL,PIOGLITAZONE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 45MG BASE,A,76801,3,AB,8/17/2012,No,No,RX,MYLAN PHARMACEUTICALS INC,76801-3,,,,,,,,,
METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE,TABLET,ORAL,PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDE,MYLAN,500MG;EQ 15MG BASE,A,90406,1,AB,2/25/2011,No,No,RX,MYLAN PHARMACEUTICALS INC,90406-1,,,,,,,,,
